Input,Output,Target
"['you', 're', 'soaking', 'wet', 'EOS']","['eres', 'muy', 'EOS']","['estas', 'empapada', 'EOS', 'SOS', 'SOS']"
"['somebody', 's', 'here', 'EOS', 'SOS']","['esta', 'esta', 'EOS']","['aqui', 'hay', 'alguien', 'EOS', 'SOS']"
"['see', 'you', 'guys', 'later', 'EOS']","['te', 'que', 'EOS']","['hasta', 'luego', 'muchachada', '!', 'EOS']"
"['is', 'tom', 'injured', '?', 'EOS']","['tom', 'esta', '?', '?', 'EOS']","['tom', 'esta', 'herido', '?', 'EOS']"
"['you', 're', 'stalling', 'EOS', 'SOS']","['eres', 'EOS']","['estas', 'atascado', 'EOS', 'SOS', 'SOS']"
"['here', 's', 'the', 'address', 'EOS']","['el', 'esta', 'esta', 'EOS']","['aca', 'esta', 'la', 'direccion', 'EOS']"
"['you', 've', 'really', 'changed', 'EOS']","['te', 'te', 'EOS']","['realmente', 'has', 'cambiado', 'EOS', 'SOS']"
"['tom', 'has', 'been', 'scolded', 'EOS']","['tom', 'tom', 'tom', 'tom', 'EOS']","['han', 'renido', 'a', 'tom', 'EOS']"
"['she', 'looks', 'happy', 'EOS', 'SOS']","['ella', 'ella', 'EOS']","['parece', 'feliz', 'EOS', 'SOS', 'SOS']"
"['tom', 'was', 'barefoot', 'EOS', 'SOS']","['tom', 'estaba', 'EOS']","['tom', 'estaba', 'descalzo', 'EOS', 'SOS']"
"['tom', 'would', 'understand', 'EOS', 'SOS']","['tom', 'se', 'se', 'EOS']","['tom', 'lo', 'entenderia', 'EOS', 'SOS']"
"['they', 'all', 'speak', 'french', 'EOS']","['ellos', 'son', 'son', 'EOS']","['todos', 'ellos', 'hablan', 'frances', 'EOS']"
"['this', 'is', 'sabotage', 'EOS', 'SOS']","['esto', 'es', 'EOS']","['esto', 'es', 'un', 'sabotaje', 'EOS']"
"['he', 'loves', 'her', 'EOS', 'SOS']","['el', 'el', 'el', 'EOS']","['el', 'la', 'quiere', 'EOS', 'SOS']"
"['tom', 'was', 'a', 'lumberjack', 'EOS']","['tom', 'fue', 'un', 'EOS']","['tom', 'fue', 'un', 'lenador', 'EOS']"
"['are', 'they', 'cops', '?', 'EOS']","['son', 'son', '?', 'EOS']","['son', 'polis', '?', 'EOS', 'SOS']"
"['that', 'was', 'close', 'EOS', 'SOS']","['eso', 'muy', 'EOS']","['estuvo', 'cerca', 'EOS', 'SOS', 'SOS']"
"['tom', 'opened', 'the', 'can', 'EOS']","['tom', 'tiene', 'la', 'ventana', 'EOS']","['tom', 'abrio', 'la', 'lata', 'EOS']"
"['we', 're', 'still', 'investigating', 'EOS']","['estamos', 'estamos', 'EOS']","['todavia', 'estamos', 'investigando', 'EOS', 'SOS']"
"['they', 're', 'drunk', 'EOS', 'SOS']","['son', 'son', 'EOS']","['ellos', 'estan', 'embriagados', 'EOS', 'SOS']"
"['stop', 'shooting', 'EOS', 'SOS', 'SOS']","['deja', 'de', 'EOS']","['deja', 'de', 'disparar', 'EOS', 'SOS']"
"['eat', 'it', 'EOS', 'SOS', 'SOS']","['lo', 'EOS']","['comeoslo', 'EOS', 'SOS', 'SOS', 'SOS']"
"['the', 'radar', 'broke', 'EOS', 'SOS']","['el', 'la', 'la', 'EOS']","['el', 'radar', 'se', 'rompio', 'EOS']"
