Input,Output,Target
"['e', 'l', ' ', 'n', 'o', ' ', 'e', 's', ' ', 'e', 's', 't', 'u', 'p', 'i', 'd', 'o', 'EOS']","['h', 'e', ' ', 'i', 's', ' ', 'a', 'o', 't', ' ', 'a', 't', 'o', 'r', 'i', 'n', 'EOS']","['h', 'e', ' ', 'i', 's', ' ', 'n', 'o', 't', ' ', 's', 't', 'u', 'p', 'i', 'd', 'EOS']"
"['e', 'l', ' ', 's', 'a', 'b', 'e', ' ', 'l', 'e', 'e', 'r', ' ', 'b', 'i', 'e', 'n', 'EOS']","['h', 'e', ' ', 's', 'a', 'n', ' ', 't', 'e', 'a', 'd', ' ', 'i', 'i', 'l', 'l', 'EOS']","['h', 'e', ' ', 'c', 'a', 'n', ' ', 'r', 'e', 'a', 'd', ' ', 'w', 'e', 'l', 'l', 'EOS']"
"['c', 'o', 'r', 'r', 'i', 'a', 'EOS']","['i', ' ', 'w', 'e', 'i', 'g', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS']","['i', ' ', 'r', 'a', 'n', 'EOS']"
"['t', 'o', 'c', 'a', ' ', 'l', 'a', ' ', 'p', 'u', 'e', 'r', 't', 'a', 'EOS']","['i', 'e', 'o', 'w', 'e', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 'm', 'o', 'EOS']","['k', 'n', 'o', 'c', 'k', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 'd', 'o', 'o', 'r', 'EOS']"
"['e', 'r', 'e', 's', ' ', 'd', 'e', 'c', 'i', 'd', 'i', 'd', 'a', 'EOS']","['y', 'o', 'u', ' ', 'r', 'e', ' ', 'a', 'i', 'a', 't', 'n', 't', 'n', 'e', 'EOS']","['y', 'o', 'u', ' ', 'r', 'e', ' ', 'd', 'e', 'c', 'i', 's', 'i', 'v', 'e', 'EOS']"
"['s', 'a', 'l', 't', 'a', 't', 'e', 'l', 'o', 'EOS']","['l', 't', 'e', 'n', 'e', 'i', 't', ' ', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS']","['s', 'k', 'i', 'p', ' ', 'i', 't', 'EOS']"
"['h', 'a', 'b', 'l', 'a', 's', 't', 'e', ' ', '?', 'EOS']","['d', 'o', 'd', ' ', 'y', 'o', 'u', ' ', 's', 'e', 'e', 'e', 't', ' ', '?', 'EOS']","['d', 'i', 'd', ' ', 'y', 'o', 'u', ' ', 's', 'p', 'e', 'a', 'k', ' ', '?', 'EOS']"
"['c', 'o', 'r', 'r', 'e', 'g', 'i', 'd', 'l', 'o', 'EOS']","['i', 'o', 'm', 'e', 'e', 'd', 't', ' ', 'i', 't', 'EOS']","['c', 'o', 'r', 'r', 'e', 'c', 't', ' ', 'i', 't', 'EOS']"
"['s', 'e', ' ', 'q', 'u', 'e', 'm', 'a', 'r', 'a', 'EOS']","['i', ' ', ' ', 's', 'o', ' ', 's', 'e', 's', 's', ' ', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS', 'SOS']","['i', 't', ' ', 'l', 'l', ' ', 'b', 'u', 'r', 'n', 'EOS']"
"['v', 'e', 'n', ' ', 'r', 'a', 'p', 'i', 'd', 'o', ' ', '!', 'EOS']","['d', 'o', 'm', 'e', ' ', 'i', 'u', 'i', 'n', 'k', ' ', 'y', ' ', '!', 'EOS']","['c', 'o', 'm', 'e', ' ', 'q', 'u', 'i', 'c', 'k', 'l', 'y', ' ', '!', 'EOS']"
