Input,Output,Target
"['i', 've', 'heard', 'everything', 'EOS']","['yo', 'lo', 'EOS']","['lo', 'he', 'oido', 'todo', 'EOS']"
"['a', 'terrible', 'thing', 'happened', 'EOS']","['me', 'un', 'un', 'EOS']","['una', 'terrible', 'cosa', 'paso', 'EOS']"
"['you', 'called', '?', 'EOS', 'SOS']","['te', '?', 'EOS']","['llamaste', '?', 'EOS', 'SOS', 'SOS']"
"['i', 'love', 'reading', 'EOS', 'SOS']","['me', 'gusta', 'EOS']","['me', 'encanta', 'leer', 'EOS', 'SOS']"
"['tom', 'was', 'absent', 'minded', 'EOS']","['tom', 'estaba', 'un', 'EOS']","['tom', 'estaba', 'distraido', 'EOS', 'SOS']"
"['you', 'must', 'hurry', 'up', 'EOS']","['te', 'a', 'EOS']","['tienen', 'que', 'darse', 'prisa', 'EOS']"
"['that', 'll', 'last', 'EOS', 'SOS']","['eso', 'eso', 'SOS', 'SOS', 'SOS']","['durara', 'EOS', 'SOS', 'SOS', 'SOS']"
"['i', 'm', 'broke', 'EOS', 'SOS']","['estoy', 'EOS']","['estoy', 'sin', 'blanca', 'EOS', 'SOS']"
"['it', 's', 'too', 'hot', 'EOS']","['es', 'es', 'EOS']","['hace', 'demasiado', 'calor', 'EOS', 'SOS']"
"['i', 'like', 'your', 'horse', 'EOS']","['me', 'gusta', 'la', 'EOS']","['me', 'gusta', 'tu', 'caballo', 'EOS']"
"['everything', 'is', 'possible', 'EOS', 'SOS']","['es', 'es', 'EOS']","['todo', 'es', 'posible', 'EOS', 'SOS']"
"['we', 'didn', 't', 'ask', 'EOS']","['no', 'no', 'EOS']","['nosotros', 'no', 'preguntamos', 'EOS', 'SOS']"
"['she', 'is', 'always', 'cheerful', 'EOS']","['ella', 'es', 'es', 'EOS']","['ella', 'siempre', 'esta', 'contenta', 'EOS']"
"['hang', 'on', 'tom', 'EOS', 'SOS']","['tom', 'tom', 'EOS']","['espera', 'tom', 'EOS', 'SOS', 'SOS']"
"['mathematics', 'is', 'difficult', 'EOS', 'SOS']","['es', 'es', 'es', 'EOS']","['las', 'matematicas', 'son', 'dificiles', 'EOS']"
"['speak', 'to', 'me', 'EOS', 'SOS']","['por', 'a', 'SOS', 'SOS', 'SOS']","['hablame', 'EOS', 'SOS', 'SOS', 'SOS']"
"['i', 'm', 'horrified', 'EOS', 'SOS']","['estoy', 'EOS']","['estoy', 'horrorizado', 'EOS', 'SOS', 'SOS']"
"['the', 'system', 'is', 'working', 'EOS']","['el', 'es', 'es', 'EOS']","['el', 'sistema', 'esta', 'funcionando', 'EOS']"
"['contact', 'me', 'tomorrow', 'EOS', 'SOS']","['me', 'EOS']","['contactame', 'manana', 'EOS', 'SOS', 'SOS']"
"['tom', 'lied', 'to', 'us', 'EOS']","['tom', 'a', 'a', 'EOS']","['tom', 'nos', 'mintio', 'EOS', 'SOS']"
"['i', 'm', 'totally', 'drunk', 'EOS']","['soy', 'estoy', 'EOS']","['estoy', 'totalmente', 'borracho', 'EOS', 'SOS']"
"['nice', 'to', 'meet', 'you', 'EOS']","['te', 'a', 'EOS']","['mucho', 'gusto', 'EOS', 'SOS', 'SOS']"
"['i', 'like', 'jogging', 'EOS', 'SOS']","['me', 'gusta', 'el', 'EOS']","['me', 'gusta', 'trotar', 'EOS', 'SOS']"
"['what', 'a', 'bore', '!', 'EOS']","['que', 'que', 'EOS']","['que', 'aburrimiento', '!', 'EOS', 'SOS']"
"['you', 'might', 'be', 'right', 'EOS']","['te', 'que', 'que', 'EOS']","['puede', 'que', 'tengas', 'razon', 'EOS']"
"['get', 'some', 'sleep', 'EOS', 'SOS']","['me', 'a', 'EOS']","['descansa', 'un', 'poco', 'EOS', 'SOS']"
"['that', 's', 'freaky', 'EOS', 'SOS']","['eso', 'es', 'EOS']","['eso', 'es', 'extrano', 'EOS', 'SOS']"
"['that', 'was', 'so', 'stupid', 'EOS']","['eso', 'es', 'es', 'EOS']","['eso', 'fue', 'muy', 'estupido', 'EOS']"
"['she', 'worked', 'hard', 'EOS', 'SOS']","['ella', 'ella', 'EOS']","['ella', 'trabajo', 'duro', 'EOS', 'SOS']"
"['write', 'that', 'down', 'EOS', 'SOS']","['eso', 'eso', 'EOS']","['anoten', 'eso', 'EOS', 'SOS', 'SOS']"
"['i', 'll', 'attend', 'EOS', 'SOS']","['lo', 'EOS']","['voy', 'a', 'estar', 'alli', 'EOS']"
"['i', 'have', 'a', 'twin', 'EOS']","['tengo', 'un', 'un', 'EOS']","['tengo', 'una', 'hermana', 'gemela', 'EOS']"
"['nobody', 'lives', 'forever', 'EOS', 'SOS']","['nadie', 'no', 'a', 'EOS']","['nadie', 'vive', 'para', 'siempre', 'EOS']"
"['i', 'm', 'wounded', 'EOS', 'SOS']","['estoy', 'EOS']","['estoy', 'herido', 'EOS', 'SOS', 'SOS']"
"['i', 'bought', 'a', 'house', 'EOS']","['me', 'un', 'EOS']","['compre', 'una', 'casa', 'EOS', 'SOS']"
"['that', 's', 'too', 'much', 'EOS']","['eso', 'es', 'es', 'EOS']","['eso', 'es', 'demasiado', 'EOS', 'SOS']"
"['they', 're', 'not', 'happy', 'EOS']","['no', 'no', 'son', 'EOS']","['ellos', 'no', 'son', 'felices', 'EOS']"
"['i', 'am', 'a', 'man', 'EOS']","['soy', 'un', 'EOS']","['soy', 'una', 'persona', 'EOS', 'SOS']"
"['tom', 'is', 'cruel', 'EOS', 'SOS']","['tom', 'es', 'EOS']","['tom', 'es', 'cruel', 'EOS', 'SOS']"
"['the', 'building', 'fell', 'down', 'EOS']","['el', 'la', 'la', 'EOS']","['el', 'edificio', 'se', 'cayo', 'EOS']"
"['go', 'that', 'way', 'EOS', 'SOS']","['eso', 'eso', 'EOS']","['ve', 'por', 'alli', 'EOS', 'SOS']"
"['let', 's', 'get', 'started', 'EOS']","['SOS', 'EOS']","['empecemos', '!', 'EOS', 'SOS', 'SOS']"
"['i', 'trusted', 'you', 'EOS', 'SOS']","['te', 'EOS']","['confiaba', 'en', 'ti', 'EOS', 'SOS']"
"['we', 're', 'having', 'dinner', 'EOS']","['estamos', 'somos', 'EOS']","['estamos', 'cenando', 'EOS', 'SOS', 'SOS']"
"['you', 'seem', 'baffled', 'EOS', 'SOS']","['te', 'EOS']","['pareces', 'sorprendido', 'EOS', 'SOS', 'SOS']"
"['listen', 'to', 'tom', 'EOS', 'SOS']","['tom', 'a', 'tom', 'EOS']","['escucha', 'a', 'tom', 'EOS', 'SOS']"
"['tips', 'are', 'not', 'accepted', 'EOS']","['no', 'no', 'son', 'EOS']","['no', 'se', 'aceptan', 'propinas', 'EOS']"
"['i', 'want', 'to', 'drive', 'EOS']","['quiero', 'a', 'EOS']","['quiero', 'manejar', 'EOS', 'SOS', 'SOS']"
"['tom', 's', 'older', 'EOS', 'SOS']","['tom', 'es', 'EOS']","['tom', 'es', 'mayor', 'EOS', 'SOS']"
"['don', 't', 'watch', 'tv', 'EOS']","['no', 'no', 'no', 'EOS']","['no', 'veas', 'la', 'television', 'EOS']"
"['tom', 'looks', 'worried', 'EOS', 'SOS']","['tom', 'se', 'EOS']","['tomas', 'parece', 'preocupado', 'EOS', 'SOS']"
"['we', 'met', 'today', 'EOS', 'SOS']","['por', 'por', 'EOS']","['nos', 'vimos', 'hoy', 'EOS', 'SOS']"
"['show', 'me', 'another', 'example', 'EOS']","['dame', 'a', 'EOS']","['ensename', 'otro', 'ejemplo', 'EOS', 'SOS']"
"['please', 'be', 'polite', 'EOS', 'SOS']","['por', 'favor', 'favor', 'EOS']","['por', 'favor', 'se', 'educado', 'EOS']"
"['let', 'tom', 'sleep', 'EOS', 'SOS']","['tom', 'a', 'a', 'tom', 'EOS']","['deja', 'dormir', 'a', 'tom', 'EOS']"
"['nothing', 'is', 'free', 'EOS', 'SOS']","['no', 'es', 'es', 'EOS']","['no', 'hay', 'nada', 'gratis', 'EOS']"
"['children', 'are', 'expensive', 'EOS', 'SOS']","['los', 'son', 'son', 'EOS']","['tener', 'hijos', 'cuesta', 'dinero', 'EOS']"
"['thank', 'you', 'EOS', 'SOS', 'SOS']","['te', 'EOS']","['gracias', '!', 'EOS', 'SOS', 'SOS']"
"['they', 'voted', 'EOS', 'SOS', 'SOS']","['ellos', 'EOS']","['votaron', 'EOS', 'SOS', 'SOS', 'SOS']"
"['he', 'did', 'his', 'duty', 'EOS']","['el', 'el', 'el', 'EOS']","['cumplio', 'con', 'su', 'deber', 'EOS']"
"['speak', 'slowly', 'please', 'EOS', 'SOS']","['por', 'por', 'por', 'favor', 'EOS']","['hablad', 'despacio', 'por', 'favor', 'EOS']"
"['humor', 'me', 'EOS', 'SOS', 'SOS']","['me', 'EOS']","['complaceme', 'EOS', 'SOS', 'SOS', 'SOS']"
