Input,Output,Target
"['i', 'have', 'bad', 'news', 'EOS']","['tengo', 'un', 'EOS']","['tengo', 'malas', 'noticias', 'EOS', 'SOS']"
"['get', 'dressed', 'quickly', 'EOS', 'SOS']","['lo', 'a', 'EOS']","['vistete', 'rapido', 'EOS', 'SOS', 'SOS']"
"['your', 'screams', 'frightened', 'me', 'EOS']","['me', 'la', 'la', 'EOS']","['me', 'asustaron', 'tus', 'gritos', 'EOS']"
"['is', 'this', 'blue', '?', 'EOS']","['esto', 'es', '?', '?', 'EOS']","['esto', 'es', 'azul', '?', 'EOS']"
"['i', 'have', 'been', 'loved', 'EOS']","['tengo', 'tengo', 'EOS']","['he', 'sido', 'amado', 'EOS', 'SOS']"
"['tom', 'should', 've', 'known', 'EOS']","['tom', 'se', 'a', 'EOS']","['tom', 'deberia', 'haberlo', 'sabido', 'EOS']"
"['i', 'just', 'need', 'time', 'EOS']","['me', 'a', 'EOS']","['solo', 'necesito', 'tiempo', 'EOS', 'SOS']"
"['we', 'were', 'having', 'lunch', 'EOS']","['lo', 'que', 'EOS']","['estabamos', 'almorzando', 'EOS', 'SOS', 'SOS']"
"['no', 'canadians', 'were', 'injured', 'EOS']","['no', 'no', 'son', 'EOS']","['ningun', 'canadiense', 'resulto', 'herido', 'EOS']"
"['you', 're', 'very', 'intelligent', 'EOS']","['eres', 'muy', 'muy', 'EOS']","['son', 'muy', 'inteligentes', 'EOS', 'SOS']"
"['he', 'clearly', 'lied', 'EOS', 'SOS']","['el', 'el', 'EOS']","['claramente', 'el', 'mintio', 'EOS', 'SOS']"
"['he', 'was', 'getting', 'old', 'EOS']","['el', 'estaba', 'un', 'EOS']","['el', 'estaba', 'envejeciendo', 'EOS', 'SOS']"
"['i', 'needed', 'you', 'EOS', 'SOS']","['te', 'te', 'te', 'EOS']","['yo', 'te', 'necesite', 'EOS', 'SOS']"
"['there', 'were', 'three', 'men', 'EOS']","['que', 'muy', 'EOS']","['habia', 'tres', 'hombres', 'EOS', 'SOS']"
"['follow', 'him', 'EOS', 'SOS', 'SOS']","['lo', 'EOS']","['siguelo', 'EOS', 'SOS', 'SOS', 'SOS']"
"['tom', 'may', 'come', 'back', 'EOS']","['tom', 'tom', 'tom', 'EOS']","['puede', 'que', 'tom', 'vuelva', 'EOS']"
"['the', 'lights', 'went', 'out', 'EOS']","['el', 'la', 'el', 'EOS']","['se', 'apagaron', 'las', 'luces', 'EOS']"
"['tom', 'declined', 'the', 'offer', 'EOS']","['tom', 'el', 'el', 'EOS']","['tom', 'rechazo', 'la', 'oferta', 'EOS']"
"['is', 'it', 'painful', '?', 'EOS']","['es', '?', '?', 'EOS']","['es', 'doloroso', '?', 'EOS', 'SOS']"
"['i', 'need', 'tom', 'EOS', 'SOS']","['me', 'a', 'tom', 'EOS']","['necesito', 'a', 'tom', 'EOS', 'SOS']"
"['i', 'm', 'new', 'here', 'EOS']","['estoy', 'estoy', 'EOS']","['soy', 'nuevo', 'aqui', 'EOS', 'SOS']"
"['i', 'love', 'him', 'EOS', 'SOS']","['me', 'a', 'EOS']","['estoy', 'enamorada', 'de', 'el', 'EOS']"
