Input,Output,Target
"['describe', 'yourself', 'EOS', 'SOS', 'SOS']","['se', 'EOS']","['describase', 'a', 'si', 'mismo', 'EOS']"
"['tom', 'knows', 'things', 'EOS', 'SOS']","['tom', 'se', 'a', 'EOS']","['tom', 'sabe', 'cosas', 'EOS', 'SOS']"
"['i', 'felt', 'uncomfortable', 'EOS', 'SOS']","['me', 'gusta', 'EOS']","['me', 'senti', 'incomodo', 'EOS', 'SOS']"
"['the', 'night', 'was', 'cold', 'EOS']","['el', 'fue', 'el', 'EOS']","['la', 'noche', 'estaba', 'fria', 'EOS']"
"['let', 'me', 'go', '!', 'EOS']","['que', '!', 'EOS']","['dejeme', 'ir', '!', 'EOS', 'SOS']"
"['flip', 'a', 'coin', 'EOS', 'SOS']","['lo', 'un', 'EOS']","['lanza', 'una', 'moneda', 'EOS', 'SOS']"
"['tom', 'is', 'a', 'creep', 'EOS']","['tom', 'es', 'un', 'SOS', 'EOS']","['tom', 'es', 'un', 'repugnante', 'EOS']"
"['champagne', 'please', 'EOS', 'SOS', 'SOS']","['por', 'por', 'favor', 'EOS']","['champana', 'por', 'favor', 'EOS', 'SOS']"
"['this', 'could', 'be', 'dangerous', 'EOS']","['este', 'es', 'es', 'EOS']","['esto', 'podria', 'ser', 'peligroso', 'EOS']"
"['you', 'aren', 't', 'stupid', 'EOS']","['no', 'no', 'EOS']","['no', 'sos', 'estupida', 'EOS', 'SOS']"
"['tom', 'drank', 'too', 'much', 'EOS']","['tom', 'no', 'a', 'EOS']","['tom', 'bebio', 'demasiado', 'EOS', 'SOS']"
"['tom', 'is', 'very', 'shy', 'EOS']","['tom', 'es', 'muy', 'EOS']","['tom', 'es', 'muy', 'timido', 'EOS']"
"['i', 'need', 'more', 'EOS', 'SOS']","['necesito', 'EOS']","['quiero', 'mas', 'de', 'eso', 'EOS']"
"['everybody', 'believes', 'it', 'EOS', 'SOS']","['lo', 'lo', 'EOS']","['todos', 'lo', 'creen', 'EOS', 'SOS']"
"['this', 'must', 'be', 'changed', 'EOS']","['esto', 'es', 'un', 'SOS', 'EOS']","['esto', 'tiene', 'que', 'cambiarse', 'EOS']"
"['say', 'good', 'night', 'tom', 'EOS']","['tom', 'a', 'a', 'EOS']","['di', 'buenas', 'noches', 'tom', 'EOS']"
"['no', 'one', 'was', 'present', 'EOS']","['no', 'estaba', 'estaba', 'EOS']","['no', 'habia', 'nadie', 'presente', 'EOS']"
"['we', 're', 'not', 'friends', 'EOS']","['no', 'no', 'EOS']","['no', 'somos', 'amigos', 'EOS', 'SOS']"
"['the', 'truth', 'is', 'undeniable', 'EOS']","['el', 'es', 'es', 'EOS']","['la', 'verdad', 'es', 'innegable', 'EOS']"
