Input,Output,Target
"['i', 'love', 'that', 'book', 'EOS']","['me', 'eso', 'EOS']","['adoro', 'ese', 'libro', 'EOS', 'SOS']"
"['i', 'ate', 'boiled', 'eggs', 'EOS']","['me', 'una', 'EOS']","['he', 'comido', 'huevo', 'cocido', 'EOS']"
"['who', 'is', 'he', '?', 'EOS']","['quien', 'es', '?', '?', 'EOS']","['quien', 'es', 'el', '?', 'EOS']"
"['this', 'desk', 'is', 'good', 'EOS']","['este', 'es', 'es', 'EOS']","['este', 'escritorio', 'es', 'bueno', 'EOS']"
"['it', 'was', 'my', 'fault', 'EOS']","['mi', 'mi', 'EOS']","['fue', 'mi', 'culpa', 'EOS', 'SOS']"
"['tom', 'voted', 'for', 'mary', 'EOS']","['tom', 'tom', 'a', 'EOS']","['tom', 'voto', 'por', 'mary', 'EOS']"
"['tom', 'is', 'packing', 'up', 'EOS']","['tom', 'es', 'es', 'EOS']","['tom', 'esta', 'empacando', 'EOS', 'SOS']"
"['they', 'want', 'me', 'EOS', 'SOS']","['quiero', 'EOS']","['me', 'quieren', 'EOS', 'SOS', 'SOS']"
"['tom', 'died', 'of', 'dysentery', 'EOS']","['tom', 'se', 'tom', 'EOS']","['tom', 'murio', 'de', 'disenteria', 'EOS']"
"['he', 's', 'not', 'sick', 'EOS']","['no', 'es', 'esta', 'EOS']","['no', 'esta', 'enfermo', 'EOS', 'SOS']"
"['i', 'often', 'read', 'books', 'EOS']","['me', 'la', 'EOS']","['con', 'frecuencia', 'leo', 'libros', 'EOS']"
"['time', 'is', 'up', 'EOS', 'SOS']","['el', 'es', 'es', 'EOS']","['se', 'acabo', 'el', 'tiempo', 'EOS']"
"['watch', 'this', 'EOS', 'SOS', 'SOS']","['esto', 'esto', 'EOS']","['mira', 'esto', 'EOS', 'SOS', 'SOS']"
"['nobody', 'ever', 'praises', 'him', 'EOS']","['nadie', 'no', 'de', 'EOS']","['nadie', 'jamas', 'lo', 'elogio', 'EOS']"
"['it', 'didn', 't', 'work', 'EOS']","['no', 'no', 'EOS']","['no', 'funciono', 'EOS', 'SOS', 'SOS']"
"['i', 'like', 'your', 'car', 'EOS']","['me', 'gusta', 'gusta', 'EOS']","['me', 'gusta', 'tu', 'automovil', 'EOS']"
"['do', 'you', 'drink', '?', 'EOS']","['quien', '?', '?', 'EOS']","['bebe', 'usted', '?', 'EOS', 'SOS']"
"['is', 'it', 'ours', '?', 'EOS']","['es', '?', '?', 'EOS']","['es', 'nuestro', '?', 'EOS', 'SOS']"
"['think', 'about', 'it', 'EOS', 'SOS']","['lo', 'a', 'SOS', 'SOS', 'SOS']","['pienselo', 'EOS', 'SOS', 'SOS', 'SOS']"
"['you', 're', 'still', 'inexperienced', 'EOS']","['eres', 'eres', 'EOS']","['todavia', 'eres', 'inexperta', 'EOS', 'SOS']"
"['they', 'saw', 'me', 'EOS', 'SOS']","['me', 'EOS']","['me', 'veian', 'EOS', 'SOS', 'SOS']"
"['we', 'may', 'lose', 'EOS', 'SOS']","['que', 'que', 'EOS']","['podriamos', 'perder', 'EOS', 'SOS', 'SOS']"
"['stop', 'saying', 'that', 'EOS', 'SOS']","['eso', 'a', 'a', 'EOS']","['dejen', 'de', 'decir', 'eso', 'EOS']"
"['the', 'soldiers', 'fired', 'EOS', 'SOS']","['el', 'la', 'EOS']","['los', 'soldados', 'abrieron', 'fuego', 'EOS']"
"['stay', 'close', 'to', 'me', 'EOS']","['me', 'a', 'EOS']","['quedate', 'cerca', 'de', 'mi', 'EOS']"
"['it', 's', 'our', 'destiny', 'EOS']","['es', 'es', 'EOS']","['es', 'nuestro', 'destino', 'EOS', 'SOS']"
"['tom', 'was', 'only', 'scratched', 'EOS']","['tom', 'es', 'es', 'EOS']","['tom', 'solo', 'se', 'rasguno', 'EOS']"
"['i', 'm', 'very', 'shy', 'EOS']","['estoy', 'muy', 'EOS']","['soy', 'muy', 'timida', 'EOS', 'SOS']"
